pitcher,pitch_type,pitches,avg_velocity,avg_release_extension,avg_pfx_x,avg_pfx_z,swings,whiffs,out_of_zone_pitches,chases,batted_balls,hard_hits,avg_run_value,whiff_rate,chase_rate,hard_hit_rate
676962,FF,43,94.78837209302326,6.853488372093023,-0.6458139534883721,1.4255813953488372,19,6,18,3,12,5,-0.04497674418604652,0.3157894736842105,0.16666666666666666,0.4166666666666667
808963,FF,42,96.10714285714286,7.080952380952381,-0.8366666666666667,1.2349999999999999,19,0,15,2,19,6,0.01861904761904762,0.0,0.13333333333333333,0.3157894736842105
680951,FF,42,89.79761904761905,7.178571428571429,0.6597619047619048,1.4464285714285714,21,7,22,5,13,5,-0.059071428571428566,0.3333333333333333,0.22727272727272727,0.38461538461538464
700249,FF,41,92.46829268292683,6.141463414634146,0.7502439024390244,1.4782926829268292,17,4,18,2,13,5,0.04704878048780488,0.23529411764705882,0.1111111111111111,0.38461538461538464
669022,CU,41,82.13170731707318,6.880487804878049,-0.3253658536585366,-1.1565853658536587,17,9,31,12,8,2,0.026682926829268296,0.5294117647058824,0.3870967741935484,0.25
663460,FF,41,92.27317073170731,6.865853658536586,0.4680487804878049,1.4853658536585366,24,2,15,2,19,3,0.012878048780487802,0.08333333333333333,0.13333333333333333,0.15789473684210525
694973,FF,41,98.05121951219512,6.36829268292683,-1.2504878048780488,1.031219512195122,22,9,16,5,10,1,0.012829268292682928,0.4090909090909091,0.3125,0.1
665152,FF,41,94.21707317073171,6.173170731707317,-0.6465853658536586,1.5021951219512195,23,2,16,4,19,3,0.0007073170731707315,0.08695652173913043,0.25,0.15789473684210525
650911,SI,41,95.66829268292683,6.992682926829268,1.4692682926829268,0.49609756097560975,16,3,18,2,13,5,-0.004195121951219513,0.1875,0.1111111111111111,0.38461538461538464
681857,SI,41,94.92439024390244,5.9365853658536585,-1.268048780487805,1.048048780487805,13,0,20,2,13,7,-0.007804878048780488,0.0,0.1,0.5384615384615384
543135,FF,41,94.54878048780488,6.902439024390244,-1.1382926829268294,0.9970731707317074,14,1,14,1,13,5,-0.020975609756097562,0.07142857142857142,0.07142857142857142,0.38461538461538464
678215,SL,41,82.47560975609755,6.070731707317074,0.17292682926829267,0.35707317073170736,20,7,21,4,13,4,-0.025317073170731702,0.35,0.19047619047619047,0.3076923076923077
656550,FF,41,94.39512195121951,6.097560975609756,-0.6290243902439024,1.4092682926829267,12,1,20,1,10,3,-0.10595121951219513,0.08333333333333333,0.05,0.3
694297,FF,40,93.35,6.58,-0.42424999999999996,1.2950000000000002,18,3,24,7,15,1,0.0397,0.16666666666666666,0.2916666666666667,0.06666666666666667
641927,FF,40,90.25750000000001,7.407500000000001,-0.69725,1.402,21,2,15,4,19,2,0.035325,0.09523809523809523,0.26666666666666666,0.10526315789473684
641927,CH,40,82.78,7.2625,-1.534,0.42374999999999996,20,3,23,11,15,3,0.007599999999999997,0.15,0.4782608695652174,0.2
682243,FF,40,93.8775,6.245,-0.5157499999999999,1.6620000000000001,15,3,16,1,12,1,0.0024249999999999975,0.2,0.0625,0.08333333333333333
592866,FF,40,87.39,6.847499999999999,-0.023,0.73075,26,4,8,3,22,4,-0.0002000000000000066,0.15384615384615385,0.375,0.18181818181818182
571578,SL,40,78.81,6.7075000000000005,-0.2,-0.032,17,6,27,8,10,1,-0.012375000000000002,0.35294117647058826,0.2962962962962963,0.1
